Year,Bill No.,Short Title of the Bill,Date of Introduction,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis,Status
2005,CXXVIII,"The Essential Commodities (Amendment) Bill, 2006",20/12/2005,28/11/2006,21/08/2006,NA,24/12/2006 54 of 2006,NA,Assented
2005,CXXIX,"The Armed Forces Tribunal Bill, 2007 , As Passed by Rajyasabha , As Passed by both Houses",20/12/2005,6/12/2007,3/12/2007,NA,25/12/2007 55 of 2007,NA,Assented
2005,CXXVI,"The Inland Vessels (Amendment) Bill, 2007",8/12/2005,30/08/2007,22/08/2007,NA,17/09/2007 35 of 2005,NA,Assented
2005,CXXV,"The Protection of Human Rights (Amendment) Bill, 2006",8/12/2005,24/08/2006,3/8/2006,NA,13/09/2006 43 of 2006,NA,Assented
2005,CXXIV,"The Carriage by Road Bill, 2007",7/12/2005,10/9/2007,7/9/2007,NA,29/09/2007 41 of 2007,NA,Assented
2005,CXXIII,"The Company Secretaries (Amendment) Bill, 2006",6/12/2005,23/12/2005,13/12/2005,NA,17/03/2006 8 of 2006,NA,Assented
2005,CXXII,"The Cost and Works Accountants (Amendment) Bill, 2006",6/12/2005,23/12/2005,13/12/2005,NA,17/03/2006 7 of 2006,NA,Assented
2005,CXXI,"The Chartered Accountants (Amendment) Bill, 2006",6/12/2005,23/12/2005,13/12/2005,NA,22/03/2006 9 of 2006,NA,Assented
2005,CI,"The Manipur University Bill, 2005",25/11/2005,13/12/2005,30/11/2005,NA,28/12/2005 54 of 2005,NA,Assented
2005,LXXXVIII,"The Central Silk Board (Amendment) Bill, 2006",30/08/2005,22/08/2006,14/08/2006,NA,13/09/2006 42 of 2006,NA,Assented
2005,LXXXVII,"The National Commission for Minority Educational Institutions (Amendment) Bill, 2006",23/08/2005,10/3/2006,1/3/2006,NA,28/03/2006 18 of 2006,NA,Assented
2005,LXXXVII,"The National Commission for Minority Educational Institutions (Amendment) Bill, 2006",23/08/2005,10/3/2006,1/3/2006,NA,NA,NA,Assented
2005,LXXXIV,"The Sree Chitra Tirunal Institute or Medical Sciences and Technology, Trivandrum (Amendment) Bill, 2005.",8/8/2005,29/08/2005,12/8/2005,NA,5/9/2005 40 of 2005,NA,Assented
2005,LXXVIII,"The Immigration (Carrier`s Liability) Amendment Bill, 2005.",8/8/2005,29/08/2005,12/8/2005,NA,15/09/2005 44 of 2005,NA,Assented
2005,LXXVII,"The Warehousing Corporations (Amendment) Bill, 2005.",8/8/2005,29/08/2005,23/08/2005,NA,15/09/2005 45 of 2005,NA,Assented
2005,LXXV,"The Citizenship (Amendment) Bill, 2005.",26/07/2005,16/08/2005,29/07/2005,NA,24/08/2005 32 of 2005,NA,Assented
2005,LV,"The Disaster Managment Bill, 2005",11/5/2005,12/12/2005,28/11/2005,NA,23/12/2005 53 of 2005,NA,Assented
2005,LIV,"The Drugs and Cosmetics (Amendment) Bill, 2008. , As Passed by Rajyasabha , As Passed by both Houses",10/5/2005,23/10/2008,21/10/2008,NA,5/12/2008 26 of 2008,NA,Assented
2005,LI,"The Private Security Agencies (Regulation) Bill, 2005.",21/04/2005,12/5/2005,10/5/2005,NA,23/06/2005 29 of 2005,NA,Assented
2005,XXXVIII,"The Hire Purchase (Repeal) Bill, 2005.",21/03/2005,13/05/2005,20/04/2005,NA,23/06/2005 31 of 2005,NA,Assented
2004,LVIII,"The Railways (Amendment) Bill, 2005.",20/12/2004,30/08/2005,22/08/2005,NA,15/09/2005 47 of 2005,NA,Assented
2004,LVII,"The University of Allahabad Bill, 2005.",20/12/2004,11/5/2005,6/5/2005,NA,23/06/2005 26 of 2005,NA,Assented
2004,LVI,"The Prohibition of Child Marriage Bill, 2006",20/12/2004,19/12/2006,14/12/2006,NA,10/1/2007 6 of 2007,NA,Assented
2004,LV,"The Hindu Succession (Amendment) Bill, 2005.",20/12/2004,29/08/2005,16/08/2005,NA,5/9/2005 39 of 2005,NA,Assented
2004,LIX,"The Parel Investment and Trading Private Limited and Domestic Gas Private Limited (Taking Over of Management) Repeal Bill, 2005.",20/12/2004,23/03/2005,17/03/2005,NA,31/03/2005 14 of 2005,NA,Assented
2004,LIV,"The Coastal Aquaculture Authority Bill, 2005",20/12/2004,5/5/2005,3/5/2005,NA,23/06/2005 24 of 2005,NA,Assented
2004,LI,"The Delegated Legislation Provisions (Amendment) Bill, 2004",7/12/2004,23/12/2004,14/12/2004,NA,11/1/2005 4 of 2005,NA,Assented
2004,XXXII,"The Credit Information Companies (Regulation) Bill, 2005.",6/12/2004,13/05/2005,9/5/2005,NA,23/06/2005 30 of 2005,NA,Assented
2004,XXXI,"The Displaced Persons Claims and Other Laws Repeal Bill, 2005",6/12/2004,29/08/2005,12/8/2005,NA,5/9/2005 38 of 2005,NA,Assented
2003,LXXIII,"The Cantonment Bill, 2006",22/12/2003,18/08/2006,1/8/2006,NA,13/09/2006 41 of 2006,NA,Assented
2003,LXVII,"The British Statutes (Repeal) Bill, 2004.",5/12/2003,3/2/2004,8/12/2003,NA,20/02/2004 17 of 2004,NA,Assented
2003,XXXIX,"The Citizenship (Amendment) Bill, 2003",5/9/2003,22/12/2003,18/12/2003,NA,1/7/2004 6 of 2004,NA,Assented
2003,XLII,"The Railways (Second Amendmnet) Bill, 2003",5/9/2003,15/12/2003,10/12/2003,NA,23/12/2003 51 of 2003,NA,Assented
2003,XLI,"The Railway Protection Force (Amendment) Bill, 2003",5/9/2003,15/12/2003,12/10/2003,NA,23/12/2003 52 of 2003,NA,Assented
2003,LX,"The Criminal Law (Amendment) Bill, 2005",22/08/2003,22/12/2005,13/12/2005,NA,11/1/2006 2 of 2004,NA,Assented
2003,XXXVII,"The Railways (Amendment) Bill, 2003",2/5/2003,15/12/2003,31/07/2003,NA,30/12/2003 56 of 2003,NA,Assented
2002,LXXX,"The High Court Judges (Salaries and condition of service) Amendment Bill, 2002",12/12/2002,20/12/2002,16/12/2002,NA,1/6/2003 6 of 2003,NA,Assented
2002,LXVII,"The Countress of Dufferins fund (Repeal) Bill, 2002",20/11/2002,12/5/2002,29/11/2002,NA,18/12/2002 65 of 2002,NA,Assented
2002,LXVI,"The Merchant Shipping (Amendment) Bill, 2002",30/07/2002,3/12/2002,20/11/2002,NA,17/12/2002 63 of 2002,NA,Assented
2002,LXIV,"The Pre-Natal Diagnostic Techiniques (Regulation and Prevention of Misuse) Amendment Bill, 2002",25/07/2002,20/12/2002,12/11/2002,NA,17/01/2003 14 of 2003,NA,Assented
2002,LIX,"The Indian Medicine Central council ( Amendment) Bill , 2002",24/07/2002,NA,NA,NA,9/12/2002 53 of 2002,NA,Assented
2002,LIII,"The Suppression of Unlawful Acts Against Safety of Maritime Navigation and Fixed Platforms on Continental Shelf Bill,2002",18/07/2002,NA,21/11/2002,NA,20/12/2002 69 of 2002,NA,Assented
2002,XLIX,"The Prevention of Food Adulteration (Extension to Kohima and Mokokchung Districts) Repeal Bill,2002",17/07/2002,12/5/2002,26/07/2002,NA,18/12/2002 66 of 2002,NA,Assented
2002,XIX,"The Passports (Amendment) Bill, 2002 ",3/7/2002,16/03/2002,3/8/2002,NA,28/03/2002 17 of 2002,NA,Assented
2002,XXXV,"The Medical Termination of Pregnancy (Amendment) Bill,2002. ",5/6/2002,5/12/2002,NA,NA,18/12/2002 64 of 2002,NA,Assented
2002,XXXVI,"The Payment of Wages Labour (Amendment) Bill, 2005. ",16/05/2002,17/08/2005,2/12/2004,NA,5/9/2005 41 of 2005,NA,Assented
2002,XXI,"The Homoeopathy Central Council (Amendment) Bill, 2002. ",24/04/2002,22/11/2002,NA,NA,8/12/2002 51 of 2002,NA,Assented
2002,XVIII,"The Delhi University (Amendment) Bill,2002. ",13/03/2002,30/07/2002,17/07/2002,NA,8/12/2002 43 of 2002,NA,Assented
2001,LXXXIII,"The All India Institute of Medical Sciences (Amendment) Bill, 2002 ",5/12/2001,3/5/2002,10/12/2001,NA,24/05/2002 24 of 2002,NA,Assented
2001,LXXXII,"The Representation of the People (Amendment) Bill, 2003 ",5/12/2001,18/08/2003,8/4/2003,NA,28/08/2003 40 of 2003,NA,Assented
2001,XXXIII,"The Indian Medical Council (Amendment) Bill, 2001 ",3/12/2001,21/08/2001,8/6/2001,NA,9/3/2001 34 of 2001,NA,Assented
2001,LXXXI,"The National Institute of Pharmaceutical Education and Research (Amendment) Bill, 2002 ",28/11/2001,3/8/2002,5/8/2002,NA,27/05/2002 28 of 2002,NA,Assented
2001,LXXVI,"The Coast Guard Defence (Amendment) Bill, 2001 ",28/11/2001,8/1/2002,17/07/2002,NA,8/12/2002 44 of 2002,NA,Assented
2001,LXXVIII,"The Tea Destricts Immigrant Labour ( Repeal) Repealing Bill,2002 ",27/11/2001,3/5/2002,3/12/2001,NA,27/05/2002 27 of 2002,NA,Assented
2001,LXXIX,"The Institute of Technology (Amendment) Bill, 2001 ",27/11/2001,16/03/2002,3/8/2002,NA,28/03/2002 16 of 2002,NA,Assented
2001,LXXIV,"The Indian Succession ( Amendment) Bill, 2002 ",22/11/2001,3/5/2002,NA,NA,27/05/2002 26 of 2002,NA,Assented
2001,LXXIII,"The St. John Ambulance Association (India) Transfer of Funds Repeal Bill, 2002 ",21/11/2001,3/5/2002,3/12/2001,NA,23/05/2002 21 of 2002,NA,Assented
2001,LV,"The Inland Waterways Authority of India (Amendment) Bill, 2001 ",27/08/2001,30/08/2001,29/08/2001,NA,9/11/2001 40 of 2001,NA,Assented
2001,XLVII,"The Sugarcane Cess (Validation) Repeal Bill, 2001 ",24/07/2001,20/08/2001,8/7/2001,NA,9/3/2001 35 of 2001,NA,Assented
2001,XLVI,"The Marriage Laws (Amendment) Bill, 2001 ",24/07/2001,30/08/2001,22/08/2001,NA,24/09/2001 49 of 2001,NA,Assented
2001,LIV,"The Code of Criminal Procedure (Amendment) Bill, 2001 ",8/7/2001,30/08/2001,23/08/2001,NA,24/09/2001 50 of 2001,NA,Assented
2001,XXIX,"The Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Bill, 2001 ",3/7/2001,30/04/2003,4/9/2003,NA,18/05/2003 34 of 2003,NA,Assented
2001,XL,"The Motor Vehicles (Amendment) Bill, 2001 ",24/04/2001,29/08/2001,8/6/2001,NA,9/11/2001 39 of 2001,NA,Assented
2001,XXX,"The Influx from Pakistan (Control) Repealing (Repeal) Bill, 2001 ",8/3/2001,21/08/2001,6/8/2001,NA,3/9/2001 33 of 2001,NA,Assented
2001,XXVIII,"The Pre-Natal Diagnostic Techniques (Regulation and Prevention of Misuse) Amendment Bill, 2001 ",7/3/2001,21/08/2001,6/8/2001,NA,3/9/2001 32 of 2001,NA,Assented
2001,LI,"The Railways Companies (Substitution of Parties in Civil Proceedings) Repeal Bill, 2001 ",8/1/2001,20/08/2001,8/6/2001,NA,29/08/2001 25 of 2001,NA,Assented
2001,L,"The Indian Railways Companies (Repeal) Bill, 2001 ",8/1/2001,20/08/2001,8/6/2001,NA,29/08/2001 24 of 2001,NA,Assented
2001,XXV,"The Industrial Disputes (Banking Companies) Decesion (Repeal) Bill, 2001 ",3/1/2001,24/07/2001,25/04/2001,NA,8/3/2001 19 of 2001,NA,Assented
2002,LXXXII,"The Code of Civil Proudutre (Amendment) Bill, 2002",22/12/2000,NA,NA,NA,23/05/2002 22 of 2002,NA,Assented
2000,LXXXII,"The Code of Civil Procedure ( Amendment) Bill, 2002 ",22/12/2000,13/05/2002,5/8/2002,NA,23/05/2002 22 of 2002,NA,Assented
2000,LXXXI,"The Post Graduate Institute of Medical Education and Research, Chandigarh (Amendment) Bill, 2001 ",20/12/2000,24/07/2001,12/3/2001,NA,3/8/2001 18 of 2001,NA,Assented
2000,LXXX,"The U.P. Sugarcane Cess (Validation) Repeal Bill, 2001 ",20/12/2000,24/07/2001,25/04/2001,NA,8/3/2001 17 of 2001,NA,Assented
2000,LXXVII,"The Vaccination (Repeal) Bill, 2001 ",15/12/2000,24/07/2001,3/12/2001,NA,8/3/2001 16 of 2001,NA,Assented
2000,LXXVI,"The Indian Divorce (Amendment) Bill, 2001 ",15/12/2000,30/08/2001,27/08/2001,NA,24/09/2001 51 of 2001,NA,Assented
2000,LXXII,"The Judicial Administration Laws (Repeal) Bill, 2000 ",24/11/2000,3/2/2001,22/08/2001,NA,29/08/2001 22 of 2001,NA,Assented
2000,LXXI,"The Chit-Funds (Amendment) Bill, 2001 ",24/11/2000,22/02/2001,19/12/2000,NA,9/5/2001 10 of 2001,NA,Assented
2000,LI,"The Passport (Entry into India) Amendment Bill, 2000 ",8/11/2000,28/11/2000,21/08/2000,NA,12/8/2000 47 of 2000,NA,Assented
2000,LIII,"The Indian Universities (Repeal) Bill, 2000 ",22/08/2000,22/02/2001,21/11/2000,NA,9/4/2001 36 of 2001,NA,Assented
2000,LII,"The Forfeiture (Repeal) Bill, 2000 ",17/08/2000,28/11/2000,21/08/2000,NA,12/8/2000 48 of 2000,NA,Assented
2000,XLIX,"The Multimodal Transportation of Goods (Amendment) Bill, 2000 ",8/7/2000,24/11/2000,22/08/2000,NA,12/5/2000 44 of 2000,NA,Assented
2000,XXXI,"The Chemical Weapons Convention Bill, 2000 ",15/05/2000,16/08/2000,26/07/2000,NA,26/08/2000 34 of 2000,NA,Assented
2000,XXX,"The Trade Union (Amendment) Bill, 2001 ",28/04/2000,24/08/2001,8/2/2001,NA,9/3/2001 31 of 2001,NA,Assented
2000,XX,"The National Housing Bank (Amendment) Bill, 2000 ",16/03/2000,5/12/2000,5/10/2000,NA,24/05/2000 15 of 2000,NA,Assented
2000,XIX,"The Indian Power Alcohol (Repeal) Bill, 2000 ",15/03/2000,16/08/2000,26/07/2000,NA,25/08/2000 32 of 2000,NA,Assented
2000,XVIII,"The Sugarcane Control (Additional Powers) Repeal Bill, 2000 ",14/03/2000,5/8/2000,17/04/2000,NA,5/12/2000 13 of 2000,NA,Assented
2000,XI,"The Food Corporations (Amendment) Bill, 2000 ",28/02/2000,5/8/2000,17/04/2000,NA,5/12/2000 12 of 2000,NA,Assented
2000,LXXXVIII,"The Rehabilitation Council of India (Amendment) Bill, 2000 ",5/2/2000,25/08/2000,8/10/2000,NA,9/4/2000 38 of 2000,NA,Assented
2000,XLVIII,"The All India Institute of Medical Sciences (Amendment) Bill, 2000 ",8/1/2000,16/08/2000,8/3/2000,NA,25/08/2000 33 of 2000,NA,Assented
2000,XLVII,"The Workmens` Compensation (Amendment) Bill, 2000 ",8/1/2000,28/11/2000,22/08/2000,NA,12/8/2000 46 of 2000,NA,Assented
1999,XLIII,"The Central Industrial Security Force (Amendment and Validation) Bill, 1999 ",30/12/1999,20/12/1999,12/3/1999,NA,29/12/1999 40 of 1999,NA,Assented
1999,LII,"The Explosive Substances (Amendment) Bill, 2001 ",23/12/1999,12/4/2001,20/11/2001,NA,12/11/2001 54 of 2001,NA,Assented
1999,LI,"The Mizoram University Bill, 2000 ",21/12/1999,16/03/2000,23/12/1999,NA,25/04/2000 8 of 2000,NA,Assented
2000,L,"The Semiconductor Integrated Circuits Layout Design Bill, 2000 ",20/12/1999,16/08/2000,15/05/2000,NA,9/4/2000 37 of 2000,NA,Assented
1999,XLIX,"The Patents (Amendment) Bill, 2002 ",20/12/1999,14/05/2002,9/5/2002,NA,25/06/2000 38 of 2002,NA,Assented
1999,XLV,"The Copyright (Amendment) Bill, 1999 ",14/12/1999,22/12/1999,17/12/1999,NA,30/12/1999 49 of 1999,NA,Assented
1999,XLIV,"The Designs Bill, 2000. ",13/12/1999,28/04/2000,15/05/2000,NA,25/05/2000 16 of 2000,NA,Assented
1999,XXXVIII,"The Administrators General (Amendment) Bill, 1999 ",30/11/1999,12/10/1999,12/1/1999,NA,16/12/1999 34 of 1999,NA,Assented
1999,XXXVII,"The Marriage Laws (Amendment) Bill, 1999 ",30/11/1999,20/12/1999,12/1/1999,NA,29/12/1999 39 of 1999,NA,Assented
